Nombre,Grado,Grado Dos,Especialidad,Hospital,Dirección,Número de,Ciudad,Estado,Código Postal,Ubicación,Nombre y Experto,Experto en
Nancy  Rivera,A.E.-C.,,Trabajador de Salud Comunitario,Central Health Center,239 Cranston St,,Providence,                  RI,02907,"Central Health Center,
                  239 Cranston St,
                  
                  Providence,
                  RI,
                  02907","Nancy  Rivera, A.E.-C. - Trabajador de Salud Comunitario",Experto en: Especialista
Nancy  Rivera,A.E.-C.,,Trabajador de Salud Comunitario,Chafee Health Center,1 Warren Way,,Providence,                  RI,02905,"Chafee Health Center,
                  1 Warren Way,
                  
                  Providence,
                  RI,
                  02905","Nancy  Rivera, A.E.-C. - Trabajador de Salud Comunitario",Experto en: Especialista
Nancy  Rivera,A.E.-C.,,Trabajador de Salud Comunitario,Olneyville Health Center,100 Curtis St,,Providence,                  RI,02909,"Olneyville Health Center,
                  100 Curtis St,
                  
                  Providence,
                  RI,
                  02909","Nancy  Rivera, A.E.-C. - Trabajador de Salud Comunitario",Experto en: Especialista
Nancy  Rivera,A.E.-C.,,Trabajador de Salud Comunitario,PCHC at Prairie Avenue,355 Prairie Ave,,Providence,                  RI,02905,"PCHC at Prairie Avenue,
                  355 Prairie Ave,
                  
                  Providence,
                  RI,
                  02905","Nancy  Rivera, A.E.-C. - Trabajador de Salud Comunitario",Experto en: Especialista
David R. Rivera,M.D.,,Oftalmología,Vision Care Associates-Westerly,45 Wells St,Ste 2020,Westerly,                  RI,02891,"Vision Care Associates-Westerly,
                  45 Wells St,
                  Ste 2020,
                  Westerly,
                  RI,
                  02891","David R. Rivera, M.D. - Oftalmología",Experto en: Especialista
Federico O. Rivera,M.D.,,Anestesiología,Federico O. Rivera,100 Kenyon Ave,,Wakefield,                  RI,02879,"Federico O. Rivera,
                  100 Kenyon Ave,
                  
                  Wakefield,
                  RI,
                  02879","Federico O. Rivera, M.D. - Anestesiología",Experto en: Especialista
Federico O. Rivera,M.D.,,Anestesiología,MVP Anesthesia Associates PC,115 Cass Ave,,Woonsocket,                  RI,02895,"MVP Anesthesia Associates PC,
                  115 Cass Ave,
                  
                  Woonsocket,
                  RI,
                  02895","Federico O. Rivera, M.D. - Anestesiología",Experto en: Especialista
Federico O. Rivera,M.D.,,Anestesiología,Narragansett Bay Anesthesia - East Bay Surgery Center,440 Swansea Mall Dr,,Swansea,                  MA,02777,"Narragansett Bay Anesthesia - East Bay Surgery Center,
                  440 Swansea Mall Dr,
                  
                  Swansea,
                  MA,
                  02777","Federico O. Rivera, M.D. - Anestesiología",Experto en: Especialista
Federico O. Rivera,M.D.,,Anestesiología,Narragansett Bay Anesthesia - Kent County Memorial,455 Toll Gate Rd,,Warwick,                  RI,02886,"Narragansett Bay Anesthesia - Kent County Memorial,
                  455 Toll Gate Rd,
                  
                  Warwick,
                  RI,
                  02886","Federico O. Rivera, M.D. - Anestesiología",Experto en: Especialista
Federico O. Rivera,M.D.,,Anestesiología,Narragansett Bay Anesthesia - Our Lady of Fatima,200 High Service Ave,,North Providence,                  RI,02904,"Narragansett Bay Anesthesia - Our Lady of Fatima,
                  200 High Service Ave,
                  
                  North Providence,
                  RI,
                  02904","Federico O. Rivera, M.D. - Anestesiología",Experto en: Especialista
Federico O. Rivera,M.D.,,Anestesiología,Narragansett Bay Anesthesia - Roger Williams,825 Chalkstone Ave,,Providence,                  RI,02908,"Narragansett Bay Anesthesia - Roger Williams,
                  825 Chalkstone Ave,
                  
                  Providence,
                  RI,
                  02908","Federico O. Rivera, M.D. - Anestesiología",Experto en: Especialista
Federico O. Rivera,M.D.,,Anestesiología,Narragansett Bay Anesthesia - West River Endo,44 W River St,,Providence,                  RI,02904,"Narragansett Bay Anesthesia - West River Endo,
                  44 W River St,
                  
                  Providence,
                  RI,
                  02904","Federico O. Rivera, M.D. - Anestesiología",Experto en: Especialista
Federico O. Rivera,M.D.,,Anestesiología,Narragansett Bay Anesthesia -Blackstone Valley Surgicare,1526 Atwood Ave,Ste 300,Johnston,                  RI,02919,"Narragansett Bay Anesthesia -Blackstone Valley Surgicare,
                  1526 Atwood Ave,
                  Ste 300,
                  Johnston,
                  RI,
                  02919","Federico O. Rivera, M.D. - Anestesiología",Experto en: Especialista
Federico O. Rivera,M.D.,,Anestesiología,SMG - Anesthesiology,795 Middle St,,Fall River,                  MA,02721,"SMG - Anesthesiology,
                  795 Middle St,
                  
                  Fall River,
                  MA,
                  02721","Federico O. Rivera, M.D. - Anestesiología",Experto en: Especialista
Jorge J. Rivera,M.D.,,Oftalmología,Advanced Eye Centers Inc,500 Faunce Corner Rd,Bldg 100,North Dartmouth,                  MA,02747,"Advanced Eye Centers Inc,
                  500 Faunce Corner Rd,
                  Bldg 100,
                  North Dartmouth,
                  MA,
                  02747","Jorge J. Rivera, M.D. - Oftalmología",Experto en: Especialista
Jorge J. Rivera,M.D.,,Oftalmología,"Advanced Eye Centers, Inc.",500 Faunce Corner Rd,Ste 110,North Dartmouth,                  MA,02747,"Advanced Eye Centers, Inc.,
                  500 Faunce Corner Rd,
                  Ste 110,
                  North Dartmouth,
                  MA,
                  02747","Jorge J. Rivera, M.D. - Oftalmología",Experto en: Especialista
Jorge J. Rivera,M.D.,,Oftalmología,Advanced Eye Centers- Taunton,1 Washington St,,Taunton,                  MA,02780,"Advanced Eye Centers- Taunton,
                  1 Washington St,
                  
                  Taunton,
                  MA,
                  02780","Jorge J. Rivera, M.D. - Oftalmología",Experto en: Especialista
Jorge J. Rivera,M.D.,,Oftalmología,Advanced Eye Centers-Bedford,854 Purchase St,,New Bedford,                  MA,02740,"Advanced Eye Centers-Bedford,
                  854 Purchase St,
                  
                  New Bedford,
                  MA,
                  02740","Jorge J. Rivera, M.D. - Oftalmología",Experto en: Especialista
Jorge J. Rivera,M.D.,,Oftalmología,Advanced Eye Centers-Fall River,1741 President Ave,,Fall River,                  MA,02720,"Advanced Eye Centers-Fall River,
                  1741 President Ave,
                  
                  Fall River,
                  MA,
                  02720","Jorge J. Rivera, M.D. - Oftalmología",Experto en: Especialista
Jorge J. Rivera,M.D.,,Oftalmología,Eye Consultants of Rhode Island Ltd,450 Veterans Memorial Pkwy,Ste 504,East Providence,                  RI,02914,"Eye Consultants of Rhode Island Ltd,
                  450 Veterans Memorial Pkwy,
                  Ste 504,
                  East Providence,
                  RI,
                  02914","Jorge J. Rivera, M.D. - Oftalmología",Experto en: Especialista
Jorge J. Rivera,M.D.,,Oftalmología,LPG Ophthalmology,1 Hoppin St,Ste 202,Providence,                  RI,02903,"LPG Ophthalmology,
                  1 Hoppin St,
                  Ste 202,
                  Providence,
                  RI,
                  02903","Jorge J. Rivera, M.D. - Oftalmología",Experto en: Especialista
Jorge J. Rivera,M.D.,,Oftalmología,RIH Multi-Specialty - Hoppin St,1 Hoppin St,Corowest Suite 200,Providence,                  RI,02903,"RIH Multi-Specialty - Hoppin St,
                  1 Hoppin St,
                  Corowest Suite 200,
                  Providence,
                  RI,
                  02903","Jorge J. Rivera, M.D. - Oftalmología",Experto en: Especialista
Ian A. Rivera-Colon,M.D.,,Anestesiología,SMG - Anesthesiology,795 Middle St,,Fall River,                  MA,02721,"SMG - Anesthesiology,
                  795 Middle St,
                  
                  Fall River,
                  MA,
                  02721","Ian A. Rivera-Colon, M.D. - Anestesiología",Experto en: Especialista
Ian A. Rivera-Colon,M.D.,,Anestesiología,Southcoast Physicians Group-Wareham,100 Rosebrook Way,Fl 3,Wareham,                  MA,02571,"Southcoast Physicians Group-Wareham,
                  100 Rosebrook Way,
                  Fl 3,
                  Wareham,
                  MA,
                  02571","Ian A. Rivera-Colon, M.D. - Anestesiología",Experto en: Especialista
Debra L. Roberts,M.D.,,Medicina Familiar,Care New England Primary Care,455 Toll Gate Rd,,Warwick,                  RI,02886,"Care New England Primary Care,
                  455 Toll Gate Rd,
                  
                  Warwick,
                  RI,
                  02886","Debra L. Roberts, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Debra L. Roberts,M.D.,,Medicina Familiar,Care New England Primary Care,1405 S County Trl,Ste 510,East Greenwich,                  RI,02818,"Care New England Primary Care,
                  1405 S County Trl,
                  Ste 510,
                  East Greenwich,
                  RI,
                  02818","Debra L. Roberts, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Randal  Rockney,M.D.,,Pediatría,RIH Pediatrics - 593 Eddy St,593 Eddy St,,Providence,                  RI,02903,"RIH Pediatrics - 593 Eddy St,
                  593 Eddy St,
                  
                  Providence,
                  RI,
                  02903","Randal  Rockney, M.D. - Pediatría",Experto en: Proveedor de Atención Primaria
Dominic J. Roda,D.P.M.,,Podología,"Carelink, Inc. - Podiatry",400 Massasoit Ave,Ste 113,East Providence,                  RI,02914,"Carelink, Inc. - Podiatry,
                  400 Massasoit Ave,
                  Ste 113,
                  East Providence,
                  RI,
                  02914","Dominic J. Roda, D.P.M. - Podología",Experto en: Especialista
Dominic J. Roda,D.P.M.,,Podología,David M Colannino DPM,1407 S County Trl,Ste 432,East Greenwich,                  RI,02818,"David M Colannino DPM,
                  1407 S County Trl,
                  Ste 432,
                  East Greenwich,
                  RI,
                  02818","Dominic J. Roda, D.P.M. - Podología",Experto en: Especialista
Dominic J. Roda,D.P.M.,,Podología,David M Colannino DPM,41 Sanderson Rd,Ste 104,Smithfield,                  RI,02917,"David M Colannino DPM,
                  41 Sanderson Rd,
                  Ste 104,
                  Smithfield,
                  RI,
                  02917","Dominic J. Roda, D.P.M. - Podología",Experto en: Especialista
Dominic J. Roda,D.P.M.,,Podología,David M Colannino DPM,851 Main St,,Warren,                  RI,02885,"David M Colannino DPM,
                  851 Main St,
                  
                  Warren,
                  RI,
                  02885","Dominic J. Roda, D.P.M. - Podología",Experto en: Especialista
Sergio F. Rodriguez Serrano,M.D.,,Medicina Interna,VMD Primary Providers of Rhode Island-Wakefield,481 Kingstown Rd,,Wakefield,                  RI,02879,"VMD Primary Providers of Rhode Island-Wakefield,
                  481 Kingstown Rd,
                  
                  Wakefield,
                  RI,
                  02879","Sergio F. Rodriguez Serrano, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Marina F. Rodriguez,M.D.,,Medicina Interna,Brown Medicine-Primary Care East Providence,375 Wampanoag Trl,Ste 201,Riverside,                  RI,02915,"Brown Medicine-Primary Care East Providence,
                  375 Wampanoag Trl,
                  Ste 201,
                  Riverside,
                  RI,
                  02915","Marina F. Rodriguez, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Marina F. Rodriguez,M.D.,,Medicina Interna,Brown Medicine Primary Care Geriatric TMH,164 Summit Ave,,Providence,                  RI,02906,"Brown Medicine Primary Care Geriatric TMH,
                  164 Summit Ave,
                  
                  Providence,
                  RI,
                  02906","Marina F. Rodriguez, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Marina F. Rodriguez,M.D.,,Medicina Interna,Brown Medicine Respiratory Clinic,38 Amaral St,,Riverside,                  RI,02915,"Brown Medicine Respiratory Clinic,
                  38 Amaral St,
                  
                  Riverside,
                  RI,
                  02915","Marina F. Rodriguez, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Marina F. Rodriguez,M.D.,,Medicina Interna,TMH Multi Specialty Clinical Providers,164 Summit Ave,,Providence,                  RI,02906,"TMH Multi Specialty Clinical Providers,
                  164 Summit Ave,
                  
                  Providence,
                  RI,
                  02906","Marina F. Rodriguez, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Dennis J. Romano,M.D.,,Medicina de Emergencia,"Center of NE Primary Care, Inc.",775 Centre Of New England Blvd,,Coventry,                  RI,02816,"Center of NE Primary Care, Inc.,
                  775 Centre Of New England Blvd,
                  
                  Coventry,
                  RI,
                  02816","Dennis J. Romano, M.D. - Medicina de Emergencia",Experto en: Especialista
Dennis J. Romano,M.D.,,Medicina de Emergencia,Center of NE Urgent Care,775 Centre Of New England Blvd,,Coventry,                  RI,02816,"Center of NE Urgent Care,
                  775 Centre Of New England Blvd,
                  
                  Coventry,
                  RI,
                  02816","Dennis J. Romano, M.D. - Medicina de Emergencia",Experto en: Especialista
Dennis J. Romano,M.D.,,Medicina de Emergencia,N Prov Primary Care Assoc,1830 Mineral Spring Ave,,North Providence,                  RI,02904,"N Prov Primary Care Assoc,
                  1830 Mineral Spring Ave,
                  
                  North Providence,
                  RI,
                  02904","Dennis J. Romano, M.D. - Medicina de Emergencia",Experto en: Especialista
Dennis J. Romano,M.D.,,Medicina de Emergencia,North Providence Urgent Care,1830 Mineral Spring Ave,,North Providence,                  RI,02904,"North Providence Urgent Care,
                  1830 Mineral Spring Ave,
                  
                  North Providence,
                  RI,
                  02904","Dennis J. Romano, M.D. - Medicina de Emergencia",Experto en: Especialista
Dennis J. Romano,M.D.,,Medicina de Emergencia,Pawtucket Primary Care,333 School St,,Pawtucket,                  RI,02860,"Pawtucket Primary Care,
                  333 School St,
                  
                  Pawtucket,
                  RI,
                  02860","Dennis J. Romano, M.D. - Medicina de Emergencia",Experto en: Especialista
Julie L. Roth,M.D.,,Neurofisiología Clínica,Brown Neurology-Eddy St,593 Eddy St,Apc 5,Providence,                  RI,02903,"Brown Neurology-Eddy St,
                  593 Eddy St,
                  Apc 5,
                  Providence,
                  RI,
                  02903","Julie L. Roth, M.D. - Neurofisiología Clínica",Experto en: Especialista
Julie L. Roth,M.D.,,Neurofisiología Clínica,"Lifespan Physician Group, Inc.",593 Eddy St,,Providence,                  RI,02903,"Lifespan Physician Group, Inc.,
                  593 Eddy St,
                  
                  Providence,
                  RI,
                  02903","Julie L. Roth, M.D. - Neurofisiología Clínica",Experto en: Especialista
Julie L. Roth,M.D.,,Neurofisiología Clínica,LPG Neurology - Newport,19 Friendship St,Unit 150,Newport,                  RI,02840,"LPG Neurology - Newport,
                  19 Friendship St,
                  Unit 150,
                  Newport,
                  RI,
                  02840","Julie L. Roth, M.D. - Neurofisiología Clínica",Experto en: Especialista
Julie L. Roth,M.D.,,Neurofisiología Clínica,RIH Multi-Specialty - Hoppin St,1 Hoppin St,Corowest Suite 200,Providence,                  RI,02903,"RIH Multi-Specialty - Hoppin St,
                  1 Hoppin St,
                  Corowest Suite 200,
                  Providence,
                  RI,
                  02903","Julie L. Roth, M.D. - Neurofisiología Clínica",Experto en: Especialista
Thomas M. Ruenger ,,,Dermatología,CharterCare Med Assoc-Maude St.,50 Maude St,,Providence,                  RI,02908,"CharterCare Med Assoc-Maude St.,
                  50 Maude St,
                  
                  Providence,
                  RI,
                  02908",Thomas M. Ruenger - Dermatología,Experto en: Especialista
Hope B. Ryan,N.P.,,Medicina Interna,Southcoast Physicians Group - Pulmonary Care,1030 President Ave,Rm 210,Fall River,                  MA,02720,"Southcoast Physicians Group - Pulmonary Care,
                  1030 President Ave,
                  Rm 210,
                  Fall River,
                  MA,
                  02720","Hope B. Ryan, N.P. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Hope B. Ryan,N.P.,,Medicina Interna,Southcoast Physicians Group-Portsmouth,2444 E Main Rd,,Portsmouth,                  RI,02871,"Southcoast Physicians Group-Portsmouth,
                  2444 E Main Rd,
                  
                  Portsmouth,
                  RI,
                  02871","Hope B. Ryan, N.P. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Inna  Ryvkin,M.D.,,Medicina Familiar,Thundermist HC of South County,1 River St,,Wakefield,                  RI,02879,"Thundermist HC of South County,
                  1 River St,
                  
                  Wakefield,
                  RI,
                  02879","Inna  Ryvkin, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Inna  Ryvkin,M.D.,,Medicina Familiar,Thundermist HC of West Warwick,186 Providence St,,West Warwick,                  RI,02893,"Thundermist HC of West Warwick,
                  186 Providence St,
                  
                  West Warwick,
                  RI,
                  02893","Inna  Ryvkin, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Inna  Ryvkin,M.D.,,Medicina Familiar,Thundermist HC of Woonsocket,450 Clinton St,,Woonsocket,                  RI,02895,"Thundermist HC of Woonsocket,
                  450 Clinton St,
                  
                  Woonsocket,
                  RI,
                  02895","Inna  Ryvkin, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Andrew D. Saal,M.D.,,Medicina Familiar,Capitol Hill Health Center,40 Candace St,,Providence,                  RI,02908,"Capitol Hill Health Center,
                  40 Candace St,
                  
                  Providence,
                  RI,
                  02908","Andrew D. Saal, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Andrew D. Saal,M.D.,,Medicina Familiar,Central Health Center,239 Cranston St,,Providence,                  RI,02907,"Central Health Center,
                  239 Cranston St,
                  
                  Providence,
                  RI,
                  02907","Andrew D. Saal, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Andrew D. Saal,M.D.,,Medicina Familiar,Chafee Health Center,1 Warren Way,,Providence,                  RI,02905,"Chafee Health Center,
                  1 Warren Way,
                  
                  Providence,
                  RI,
                  02905","Andrew D. Saal, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Andrew D. Saal,M.D.,,Medicina Familiar,Crossroads Health Center,160 Broad St,,Providence,                  RI,02903,"Crossroads Health Center,
                  160 Broad St,
                  
                  Providence,
                  RI,
                  02903","Andrew D. Saal, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Andrew D. Saal,M.D.,,Medicina Familiar,Olneyville Health Center,100 Curtis St,,Providence,                  RI,02909,"Olneyville Health Center,
                  100 Curtis St,
                  
                  Providence,
                  RI,
                  02909","Andrew D. Saal, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Andrew D. Saal,M.D.,,Medicina Familiar,PCHC at Prairie Avenue,355 Prairie Ave,,Providence,                  RI,02905,"PCHC at Prairie Avenue,
                  355 Prairie Ave,
                  
                  Providence,
                  RI,
                  02905","Andrew D. Saal, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Andrew D. Saal,M.D.,,Medicina Familiar,PCHC Atwood Health Center,31 Atwood St,,Providence,                  RI,02909,"PCHC Atwood Health Center,
                  31 Atwood St,
                  
                  Providence,
                  RI,
                  02909","Andrew D. Saal, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Andrew D. Saal,M.D.,,Medicina Familiar,Providence Center- N Main,530 N Main St,,Providence,                  RI,02904,"Providence Center- N Main,
                  530 N Main St,
                  
                  Providence,
                  RI,
                  02904","Andrew D. Saal, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Caitlin O. Saint-Aubin,M.D.,,Obstetricia y Ginecología,Affinity Physicians-101 Dudley,101 Dudley St,,Providence,                  RI,02905,"Affinity Physicians-101 Dudley,
                  101 Dudley St,
                  
                  Providence,
                  RI,
                  02905","Caitlin O. Saint-Aubin, M.D. - Obstetricia y Ginecología",Experto en: Especialista
Caitlin O. Saint-Aubin,M.D.,,Obstetricia y Ginecología,"Southern New England Healthcare for Women, LLC-Center for OBGYN",297 Promenade St,,Providence,                  RI,02908,"Southern New England Healthcare for Women, LLC-Center for OBGYN,
                  297 Promenade St,
                  
                  Providence,
                  RI,
                  02908","Caitlin O. Saint-Aubin, M.D. - Obstetricia y Ginecología",Experto en: Especialista
Willy A. Salas Sanchez,M.D.,,Medicina Interna,Capitol Hill Health Center,40 Candace St,,Providence,                  RI,02908,"Capitol Hill Health Center,
                  40 Candace St,
                  
                  Providence,
                  RI,
                  02908","Willy A. Salas Sanchez, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Willy A. Salas Sanchez,M.D.,,Medicina Interna,Central Health Center,239 Cranston St,,Providence,                  RI,02907,"Central Health Center,
                  239 Cranston St,
                  
                  Providence,
                  RI,
                  02907","Willy A. Salas Sanchez, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Willy A. Salas Sanchez,M.D.,,Medicina Interna,Chafee Health Center,1 Warren Way,,Providence,                  RI,02905,"Chafee Health Center,
                  1 Warren Way,
                  
                  Providence,
                  RI,
                  02905","Willy A. Salas Sanchez, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Willy A. Salas Sanchez,M.D.,,Medicina Interna,Crossroads Health Center,160 Broad St,,Providence,                  RI,02903,"Crossroads Health Center,
                  160 Broad St,
                  
                  Providence,
                  RI,
                  02903","Willy A. Salas Sanchez, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Willy A. Salas Sanchez,M.D.,,Medicina Interna,Olneyville Health Center,100 Curtis St,,Providence,                  RI,02909,"Olneyville Health Center,
                  100 Curtis St,
                  
                  Providence,
                  RI,
                  02909","Willy A. Salas Sanchez, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Willy A. Salas Sanchez,M.D.,,Medicina Interna,PCHC at Prairie Avenue,355 Prairie Ave,,Providence,                  RI,02905,"PCHC at Prairie Avenue,
                  355 Prairie Ave,
                  
                  Providence,
                  RI,
                  02905","Willy A. Salas Sanchez, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Willy A. Salas Sanchez,M.D.,,Medicina Interna,Providence Center- N Main,530 N Main St,,Providence,                  RI,02904,"Providence Center- N Main,
                  530 N Main St,
                  
                  Providence,
                  RI,
                  02904","Willy A. Salas Sanchez, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Robert  Salk,D.O.,,Obstetricia y Ginecología,Caring for Women Inc-Cranston,1500 Pontiac Ave,Ste 4,Cranston,                  RI,02920,"Caring for Women Inc-Cranston,
                  1500 Pontiac Ave,
                  Ste 4,
                  Cranston,
                  RI,
                  02920","Robert  Salk, D.O. - Obstetricia y Ginecología",Experto en: Especialista
Robert  Salk,D.O.,,Obstetricia y Ginecología,Caring for Women Inc-Lincoln,2 Wake Robin Rd,Unit 205,Lincoln,                  RI,02865,"Caring for Women Inc-Lincoln,
                  2 Wake Robin Rd,
                  Unit 205,
                  Lincoln,
                  RI,
                  02865","Robert  Salk, D.O. - Obstetricia y Ginecología",Experto en: Especialista
Robert  Salk,D.O.,,Obstetricia y Ginecología,Caring for Women Inc-Warren,851 Main St,,Warren,                  RI,02885,"Caring for Women Inc-Warren,
                  851 Main St,
                  
                  Warren,
                  RI,
                  02885","Robert  Salk, D.O. - Obstetricia y Ginecología",Experto en: Especialista
Robert  Salk,D.O.,,Obstetricia y Ginecología,Caring for Women Inc-Warwick,166 Toll Gate Rd,,Warwick,                  RI,02886,"Caring for Women Inc-Warwick,
                  166 Toll Gate Rd,
                  
                  Warwick,
                  RI,
                  02886","Robert  Salk, D.O. - Obstetricia y Ginecología",Experto en: Especialista
Jason D. Salter,D.O.,,Medicina Familiar,Affinity Physicians - Pawtucket,111 Brewster St,,Pawtucket,                  RI,02860,"Affinity Physicians - Pawtucket,
                  111 Brewster St,
                  
                  Pawtucket,
                  RI,
                  02860","Jason D. Salter, D.O. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Marie  Sample,C.N.M.,,Partería,Affinity - WIHCA Imperial Place,18 Imperial Pl,Unit 2D,Providence,                  RI,02903,"Affinity - WIHCA Imperial Place,
                  18 Imperial Pl,
                  Unit 2D,
                  Providence,
                  RI,
                  02903","Marie  Sample, C.N.M. - Partería",Experto en: Especialista
Marie  Sample,C.N.M.,,Partería,Family Health Serv of Cranston,1090 Cranston St,,Cranston,                  RI,02920,"Family Health Serv of Cranston,
                  1090 Cranston St,
                  
                  Cranston,
                  RI,
                  02920","Marie  Sample, C.N.M. - Partería",Experto en: Especialista
Evelyn  Sanchez,N.P.,C.D.O.E.,Medicina Familiar,Care New England Primary Care,455 Toll Gate Rd,,Warwick,                  RI,02886,"Care New England Primary Care,
                  455 Toll Gate Rd,
                  
                  Warwick,
                  RI,
                  02886","Evelyn  Sanchez, N.P., C.D.O.E. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Evelyn  Sanchez,N.P.,C.D.O.E.,Medicina Familiar,AFF-Integra Complex Care,171 Service Ave, Fl 1,Warwick,                  RI,02886,"AFF-Integra Complex Care,
                  171 Service Ave,
                  Bldg 2, Fl 1,
                  Warwick,
                  RI,
                  02886","Evelyn  Sanchez, N.P., C.D.O.E. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Juan R. Sanchez-Esteban,M.D.,,Pediatría,Affinity Physicians - Pawtucket,111 Brewster St,,Pawtucket,                  RI,02860,"Affinity Physicians - Pawtucket,
                  111 Brewster St,
                  
                  Pawtucket,
                  RI,
                  02860","Juan R. Sanchez-Esteban, M.D. - Pediatría",Experto en: Proveedor de Atención Primaria
Lucas J Santana De Castro Alves,M.D.,,Anestesiología,AFF-WIH Dept of Anesthesiology,101 Dudley St,,Providence,                  RI,02905,"AFF-WIH Dept of Anesthesiology,
                  101 Dudley St,
                  
                  Providence,
                  RI,
                  02905","Lucas J Santana De Castro Alves, M.D. - Anestesiología",Experto en: Especialista
Michael A. Santos,M.D.,,Medicina Interna,Lifespan Physician Group - Summit Prov,164 Summit Ave,Fain Building,Providence,                  RI,02906,"Lifespan Physician Group - Summit Prov,
                  164 Summit Ave,
                  Fain Building,
                  Providence,
                  RI,
                  02906","Michael A. Santos, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Michael A. Santos,M.D.,,Medicina Interna,Lifespan Physician Group Field Hospital,1 Sabin St,,Providence,                  RI,02903,"Lifespan Physician Group Field Hospital,
                  1 Sabin St,
                  
                  Providence,
                  RI,
                  02903","Michael A. Santos, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Michael A. Santos,M.D.,,Medicina Interna,"Lifespan Physician Group, Inc.",593 Eddy St,,Providence,                  RI,02903,"Lifespan Physician Group, Inc.,
                  593 Eddy St,
                  
                  Providence,
                  RI,
                  02903","Michael A. Santos, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Michael A. Santos,M.D.,,Medicina Interna,LPG Cardiology-11 Friendship,11 Friendship St,,Newport,                  RI,02840,"LPG Cardiology-11 Friendship,
                  11 Friendship St,
                  
                  Newport,
                  RI,
                  02840","Michael A. Santos, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Arlinda  Santos,N.P.,,Medicina Familiar,"Wellness Connect Go Beyond Medicine, LLC",170 Rhodes St,,Providence,                  RI,02903,"Wellness Connect Go Beyond Medicine, LLC,
                  170 Rhodes St,
                  
                  Providence,
                  RI,
                  02903","Arlinda  Santos, N.P. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Arlinda  Santos,N.P.,,Medicina Familiar,Wellness Connect Go Beyond Medicine-Suite 201,655 Broad St,Ste 201,Providence,                  RI,02907,"Wellness Connect Go Beyond Medicine-Suite 201,
                  655 Broad St,
                  Ste 201,
                  Providence,
                  RI,
                  02907","Arlinda  Santos, N.P. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
David J. Santos,O.D.,,Optometría,"Brown Vision Care, Inc.",400 Warren Ave,,East Providence,                  RI,02914,"Brown Vision Care, Inc.,
                  400 Warren Ave,
                  
                  East Providence,
                  RI,
                  02914","David J. Santos, O.D. - Optometría",Experto en: Especialista
Frank  Savoretti,M.D.,,Medicina Interna,Ocean State Medical,1539 Atwood Ave,Ste 101,Johnston,                  RI,02919,"Ocean State Medical,
                  1539 Atwood Ave,
                  Ste 101,
                  Johnston,
                  RI,
                  02919","Frank  Savoretti, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Richard  Sayegh,D.O.,,Oftalmología,"Eye Health Associates of Rhode Island, Inc.",73 Valley Rd,,Middletown,                  RI,02842,"Eye Health Associates of Rhode Island, Inc.,
                  73 Valley Rd,
                  
                  Middletown,
                  RI,
                  02842","Richard  Sayegh, D.O. - Oftalmología",Experto en: Especialista
